Name,Country,Region,Winery,Rating,Price,Year
Vulkanfelsen Grauer Burgunder Spätlese Trocken 2014,Germany,Baden,Burkheimer,3.8,15.9,2014
Vernaccia di San Gimignano 2019,Italy,Vernaccia di San Gimignano,Fattoria San Donato,3.4,11.21,2019
Sauvignon Blanc Quarzit 2019,Germany,Pfalz,Weingut Pflüger,3.9,8.0,2019
Royal Riesling Kabinett Trocken 2018,Germany,Johannisberg,Prinz von Hessen,4.0,12.5,2018
Grauburgunder Trocken 2019,Germany,Rheinhessen,Hofmann,3.8,7.95,2019
Doria 2017,France,Luberon,Marrenon,3.5,11.99,2017
Chardonnay 2019,France,Vin de France,Château Pesquie,3.6,8.1,2019
Châteauneuf-du-Pape Prestige 2012,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.1,69.95,2012
Chenin Blanc 2019,South Africa,Western Cape,Long Beach,3.7,5.79,2019
Sancerre Blanc 2019,France,Sancerre,Pascal Jolivet,4.1,24.24,2019
Ritme Blanc 2017,Spain,Priorat,Acustic Celler,4.0,16.99,2017
Iphöfer Julius-Echter-Berg Riesling 2018,Germany,Franken,Hans Wirsching,3.8,14.74,2018
Arcane 2018,France,Saumur,Château de Fosse-Sèche,4.0,27.2,2018
Blanco 2018,Spain,Rioja,Eguren Ugarte,3.4,4.5,2018
Wildcard Chardonnay (Unoaked) 2018,Australia,South Australia,Peter Lehmann,3.1,6.69,2018
Chenin 2018,South Africa,Western Cape,Luddite,4.0,32.9,2018
Vieilles Vignes Côtes Catalanes Blanc 2015,France,Côtes Catalanes,Gauby,4.0,29.15,2015
Evoè Bianco 2013,Italy,Toscana,Panizzi,3.8,24.24,2013
Grüner Veltliner Ried Loibenberg 2017,Austria,Wachau,Pichler-Krutzler,3.8,32.87,2017
Bandol Blanc 2016,France,Bandol,Domaine de la Tour du Bon,3.8,18.84,2016
Souvignier Gris 2017,Italy,Mitterberg,Thomas Niedermayr,3.8,16.9,2017
Weissburgunder 2018,Italy,Südtirol - Alto Adige,Colterenzio (Schreckbichl),3.7,9.21,2018
Benedictus Lugana 2018,Italy,Lugana,Le Morette,3.7,9.8,2018
Trebbiano d'Abruzzo 2016,Italy,Trebbiano d'Abruzzo,Villamedoro,3.1,4.7,2016
Arneis Langhe 2018,Italy,Langhe,Ascheri,3.6,9.9,2018
Trebbiano d'Abruzzo 2018,Italy,Trebbiano d'Abruzzo,Caldora,2.9,4.75,2018
Pessac-Léognan Blanc 2015,France,Pessac-Léognan,Château Gazin Rocquencourt,4.0,34.15,2015
Pratum 2015,Italy,Südtirol - Alto Adige,Castel Sallegg,4.0,26.29,2015
Ölberg Riesling 2017,Germany,Rheinhessen,Kühling-Gillot,4.2,35.65,2017
Alt Scheidt Riesling Feinherb 2017,Germany,Mosel,Peter Lauer,3.8,11.95,2017
Steren Weiß- & Grauburgunder Trocken 2018,Germany,Franken,Bürgerspital,3.2,9.39,2018
Neuburger Freyheit 2017,Austria,Bergland,Heinrich,3.7,18.98,2017
Sauvignon Blanc 2018,New Zealand,Marlborough,Main Divide,3.8,16.95,2018
Sauvignon Blanc 2019,South Africa,Cape Point,Cape Point Vineyards,3.5,13.25,2019
Mandorlo White Blend 2018,Italy,Toscana,Montellori,3.7,9.37,2018
Ruppertsberger Riesling 2017,Germany,Pfalz,Fußer,3.7,10.6,2017
Schieferblume Riesling Trocken 2018,Germany,Mosel,Rita & Rudolf Trossen,3.8,13.4,2018
Embruns de Viognier 2019,France,Pays d'Oc,Michel Gassier,3.5,9.68,2019
M Grüner Veltliner Smaragd 2017,Austria,Wachau,F.X. Pichler,4.3,72.5,2017
L'Aubinière Muscadet Sèvre et Maine Sur Lie 2018,France,Muscadet-Sevre et Maine,Terroirs de la Noëlle,3.4,6.5,2018
Chardonnay Felsenstein 2018,Austria,Burgenland,Birgit Braunstein,3.8,11.95,2018
Christoffel Hazenwinkel The White Blend 2018,South Africa,Western Cape,Hazendal,3.4,14.5,2018
Appenheimer Riesling Kalkstein 2018,Germany,Rheinhessen,Knewitz,3.6,14.5,2018
Rotschiefer Riesling 2014,Germany,Mosel,Sorentberg,3.8,14.7,2014
Bordeaux Blanc Sec 2016,France,Bordeaux Sec,Château Lafaurie-Peyraguey,3.9,67.75,2016
Hattenheimer Schützenhaus Riesling Kabinett 2018,Germany,Rheingau,Balthasar Ress,3.8,13.9,2018
Hipping Riesling 2016,Germany,Rheinhessen,Schätzel,3.6,60.96,2016
Obvius Bianco 2017,Italy,Toscana,Salcheto,3.5,13.9,2017
Manzoni Bianco Fontanasanta 2019,Italy,Vigneti delle Dolomiti,Foradori,3.6,18.06,2019
Riesling Charta 2017,Germany,Rheingau,Barth,3.8,13.68,2017
Barrique Sauvignon Blanc 2015,New Zealand,Marlborough,Saint Clair,4.0,18.95,2015
Altos R Blanco 2018,Spain,Rioja,Altos de Rioja,3.6,6.95,2018
Schiefersteil Riesling 2018,Germany,Mosel,Markus Molitor,4.0,12.5,2018
Markus Pfaffmann Sauvignon Blanc Trocken 2019,Germany,Pfalz,Karl Pfaffmann,4.1,7.5,2019
Bürklin Estate Riesling 2018,Germany,Pfalz,Dr. Bürklin-Wolf,3.7,12.5,2018
Chardonnay 2017,United States,Monterey,Craftwork,3.7,14.99,2017
Ritterpfad Riesling Kabinett 2015,Germany,Mosel,Van Volxem,4.0,17.95,2015
