Name,Country,Region,Winery,Rating,Price,Year
Spumante Extra Brut 2015,Italy,Piemonte,Bruno Giacosa,3.6,27.06,2015
L'Ermitage Brut Rosé 2006,United States,Anderson Valley,Roederer Estate,4.2,66.9,2006
Rosé Brut Champagne (Vintage) 2014,France,Champagne,Louis Roederer,4.1,48.64,2014
Cava Organic Brut Nature 2017,Spain,Cava,Vilarnau,3.8,14.53,2017
Rheingauer Réserve Riesling Brut 2014,Germany,Rheingau,Schloss Vaux,3.6,19.0,2014
Molera Valdobbiadene Prosecco Superiore Extra Dry 2017,Italy,Conegliano-Valdobbiadene Prosecco,Bisol,3.9,19.98,2017
Kaapse Vonkel Brut 2018,South Africa,Western Cape,Simonsig,3.9,12.18,2018
Mont Marvin Cuvée Brut Champagne 2011,France,Champagne,Lacroix Triaulaire,4.0,42.0,2011
Rheingauer Réserve Riesling Brut 2015,Germany,Rheingau,Schloss Vaux,3.9,18.5,2015
Riesling Brut 2017,Germany,Rheingau,Kloster Eberbach,3.6,12.6,2017
Riserva Extra Brut 2012,Italy,Trentino-Alto Adige,Arunda,4.1,24.15,2012
Efecte Classic Penedès Brut Reserva 2017,Spain,Penedès,Albet i Noya,3.9,15.6,2017
Triumvirat Grande Cuvée Brut 2009,Germany,Rheinhessen,Raumland,4.1,42.95,2009
'Giulio Ferrari' Riserva del Fondatore Rosé 2006,Italy,Trentino,Ferrari,4.5,239.0,2006
N.P.U Brut Champagne (Nec Plus Ultra) 2004,France,Champagne,Bruno Paillard,4.4,169.0,2004
Teatro Alla Scala 2013,Italy,Franciacorta,Bellavista,4.0,47.53,2013
Il Vino dei Poeti Gold 2017,Italy,Prosecco,Bottega,3.8,19.4,2017
Imperial Brut 2015,Spain,Cava,Gramona,4.0,19.99,2015
L'Authentique Brut Champagne 2009,France,Champagne,Tribaut Schloesser,4.2,78.95,2009
Bricco Quaglia Moscato d'Asti 2019,Italy,Moscato d'Asti,La Spinetta,4.1,15.69,2019
Moscato d'Asti 2019,Italy,Moscato d'Asti,Prunotto,3.9,11.9,2019
Cuvée Prestige Millésimé Brut Champagne 2013,France,Champagne,J.M. Gobillard & Fils,4.2,33.92,2013
Serral del Vell Brut Nature 2009,Spain,Cava,Recaredo,4.3,39.5,2009
Millesimé Brut Champagne 2013,France,Champagne,Deutz,4.0,48.5,2013
Brut 2018,Italy,Conegliano-Valdobbiadene Prosecco,Bepin de Eto,3.8,11.21,2018
Franciacorta Rosé 2015,Italy,Franciacorta,Bellavista,4.1,46.9,2015
Millésime Brut Champagne 2009,France,Champagne,Tribaut Schloesser,4.2,39.95,2009
Conte Aimo Blanc de Noir 2009,Italy,Franciacorta,Montenisa,4.2,47.0,2009
Réserve Blanquette de Limoux Brut 2016,France,Blanquette de Limoux,Antech,3.7,14.62,2016
Brut Nature Vintage 2015,Spain,Cava,Vilarnau,3.3,15.61,2015
Riesling Brut 2017,Germany,Pfalz,Reichsrat von Buhl,3.9,14.75,2017
Millesimé Exception Brut Champagne 2014,France,Champagne,Drappier,4.1,39.79,2014
Franciacorta Pas Operé 2012,Italy,Franciacorta,Bellavista,4.2,45.9,2012
Brut Rosé 2015,Germany,Baden,Griesel & Compagnie,3.9,15.5,2015
Triumvirat Grande Cuvée Brut 2010,Germany,Rheinhessen,Raumland,4.2,39.0,2010
Ribolla Gialla 2015,Italy,Colli Orientali del Friuli,Collavini,4.1,26.31,2015
Comtes de Champagne Rosé 2007,France,Champagne,Taittinger,4.3,208.2,2007
Vértice Gouveio Bruto 2007,Portugal,Douro,Caves Transmontanas,4.1,23.39,2007
Prosecco 2016,Italy,Prosecco,Zonin,3.4,8.24,2016
Franciacorta Riserva Satèn Palazzo Lana 2008,Italy,Franciacorta,Berlucchi,4.2,69.9,2008
Brut Blanc De Blancs 2015,South Africa,Robertson,Graham Beck,4.0,19.9,2015
Francesco Galliano Blanc de Blancs 2015,Italy,Piemonte,Borgo Maragliano,3.7,17.9,2015
Geheimrat J Riesling Klassische Flaschengärung Sekt Brut 2011,Germany,Rheingau,Weingüter Wegeler,3.9,28.38,2011
Moncalvina Moscato d'Asti 'Canelli' 2018,Italy,Moscato d'Asti,Coppo,4.2,11.9,2018
Franciacorta Satèn Brut 2015,Italy,Franciacorta,Ricci Curbastro,3.9,24.37,2015
Blanc de Noirs Brut 2015,Germany,Baden,Griesel & Compagnie,3.8,32.0,2015
Conde de Haro Brut 2016,Spain,Cava,Muga,3.8,16.47,2016
Blanc de Trilogia 2018,Spain,Valencia,Los Frailes,4.0,9.45,2018
Cascinetta Moscato d'Asti 2019,Italy,Moscato d'Asti,Vietti,4.2,13.5,2019
Perlae Naonis Millesimato Prosecco 2018,Italy,Prosecco,San Simone,3.9,13.21,2018
Cava La Cuvee Gran Reserva 2015,Spain,Cava,Gramona,3.9,17.85,2015
Brut Almerita Regaleali 2015,Italy,Contea di Sclafani,Tasca d'Almerita,3.9,24.2,2015
Cava Brut Stars Touch Of Rosé 2017,Spain,Cava,Castillo Perelada,3.8,12.99,2017
Millesimato Extra Dry Prosecco 2018,Italy,Prosecco,Paladin,4.1,10.43,2018
Arte Tradicional Brut Espumante Rosé 2017,Brazil,Vale dos Vinhedos,Casa Valduga,3.7,11.95,2017
Rosé Brut Champagne (Extra Cuvée de Réserve) 2012,France,Champagne,Pol Roger,4.3,66.29,2012
La Caliera Moscato d'Asti 2019,Italy,Moscato d'Asti,Borgo Maragliano,4.2,9.5,2019
Blanc de Blancs Brut Champagne Premier Cru 2013,France,Champagne Premier Cru,Mandois,4.0,30.17,2013
Millésime Brut Collection Mémoire Champagne Grand Cru 'Aÿ' 2010,France,Champagne Grand Cru 'Aÿ',Lallier,4.3,65.69,2010
D Millésimé Champagne 2008,France,Champagne,Veuve A. Devaux,4.0,57.51,2008
Le Fronde Moscato d'Asti 2018,Italy,Moscato d'Asti,Fontanafredda,4.3,10.42,2018
Cuvée Oenophile Non Dose Extra Brut Champagne Premier Cru 2012,France,Champagne Premier Cru,Pierre Gimonnet & Fils,4.1,42.0,2012
Vendemmia Rosé 2014,Italy,Franciacorta,Bellavista,4.1,39.9,2014
Prosecco Millesimato 2018,Italy,Prosecco,Biscardo,3.8,9.5,2018
Sir Winston Churchill Brut Champagne 2009,France,Champagne,Pol Roger,4.6,184.24,2009
Perlé Bianco Riserva 2010,Italy,Trento,Ferrari,4.1,52.61,2010
Brut Rosé 2014,Italy,Lambrusco di Sorbara,Cantina della Volta,3.9,28.7,2014
Rosé 2015,United Kingdom,Kent,Gusbourne,3.9,62.29,2015
D. D. R. 2009,Italy,Modena,Cantina della Volta,4.2,35.37,2009
Tresor Brut 2012,France,Saumur,Bouvet-Ladubay,3.8,35.5,2012
Langenlois Blanc de Blancs Brut Nature 2013,Austria,Niederösterreich,Loimer,4.0,34.9,2013
Brut Vintage Champagne (Cuvée Royale) 2004,France,Champagne,Joseph Perrier,3.9,60.08,2004
Cuvée Elisabeth Salmon Brut Rosé Champagne 2007,France,Champagne,Billecart-Salmon,4.5,184.24,2007
Franciacorta Brut Rosé 2015,Italy,Franciacorta,Ferghettina,3.9,40.1,2015
Comtesse Marie de France Brut Millésime Champagne Grand Cru 'Bouzy' 2006,France,Champagne Grand Cru 'Bouzy',Paul Bara,4.4,77.93,2006
Prosecco Millesimato 2017,Italy,Prosecco,Biscardo,3.9,19.95,2017
N.P.U Brut Champagne (Nec Plus Ultra) 2003,France,Champagne,Bruno Paillard,4.5,145.73,2003
Brut Champagne 2010,France,Champagne,Dom Pérignon,4.6,167.48,2010
Cuvée Vaux Brut 2015,Germany,Rheingau,Schloss Vaux,3.8,11.62,2015
Petit Albet Clàssic Penedès Brut 2017,Spain,Penedès,Albet i Noya,3.7,11.95,2017
Blanc de Noir 2018,Germany,Pfalz,Dr. Von Bassermann-Jordan,3.9,12.69,2018
Grande Sendrée Champagne Brut 2009,France,Champagne,Drappier,4.3,61.55,2009
Cuvée ∝ (Alpha) Champagne 2006,France,Champagne,Jacquart,4.3,126.32,2006
Prosecco Millesimato Dry 2018,Italy,Prosecco,Corte Giara,3.6,11.6,2018
Leonia Brut Millesimato Pomino 2014,Italy,Pomino,Castello Pomino,3.8,31.38,2014
Belle Epoque Rosé Brut Champagne 2002,France,Champagne,Perrier-Jouët,4.6,259.95,2002
Cuvée dei Frati Brut 2019,Italy,Lombardia,Cà dei Frati,3.9,18.9,2019
Perlé Nero Riserva 2010,Italy,Trento,Ferrari,4.1,69.95,2010
Assemblage Brut Champagne 2009,France,Champagne,Bruno Paillard,4.4,75.0,2009
Vértice Millesimé 2010,Portugal,Douro,Caves Transmontanas,4.0,19.5,2010
Clos Saint-Hilaire Brut Champagne 1999,France,Champagne,Billecart-Salmon,4.5,336.31,1999
Spätburgunder Brut Rosé 2016,Germany,Pfalz,Reichsrat von Buhl,3.9,18.9,2016
Kaapse Vonkel Brut 2017,South Africa,Western Cape,Simonsig,3.6,12.5,2017
Moncucco Moscato d'Asti 2018,Italy,Moscato d'Asti,Fontanafredda,4.3,14.6,2018
Prosecco Conegliano Valdobbiadene Superiore Brut 2017,Italy,Conegliano-Valdobbiadene Prosecco,Cecilia Beretta,3.9,13.57,2017
Tresor Brut 2016,France,Saumur,Bouvet-Ladubay,3.6,15.4,2016
Alta Langa Contessa Rosa Rosé 2012,Italy,Alta Langa,Fontanafredda,3.8,29.05,2012
Les Nogers Blanc de Blancs Extra Brut Champagne Premier Cru 2012,France,Champagne Premier Cru,Dhondt-Grellet,4.3,79.0,2012
'61 Franciacorta Nature 2012,Italy,Franciacorta,Berlucchi,4.0,29.9,2012
Prosecco Superiore di Conegliano Valdobbiadene Millesimato Brut 2018,Italy,Conegliano-Valdobbiadene Prosecco,Canella,3.9,13.97,2018
Vintage Brut Champagne 2012,France,Champagne,Piper-Heidsieck,4.2,53.3,2012
